nome;titulo;texto;fonte
"Associação o Eco";Editais;"TOMADA DE PREÇO Nº 001/2017 - Produção e redação de reportagens em profundidade sobre os efeitos da pecuária e da soja no desmatamento da Amazônia";http://www.oeco.org.br/wp-content/uploads/2017/09/TOMADA-DE-PRE%C3%87O-N%C2%BA-001_2017.pdf
"Associação o Eco";Editais;"TOMADA DE PREÇO Nº 002/2017. Contratação de serviços de criação, elaboração e produção de infográficos e motion graphics para reportagens e vídeos, em conformidade com as especificações do Anexo 1 da presente.";http://www.oeco.org.br/wp-content/uploads/2017/09/TOMADA-DE-PRE%C3%87O-N%C2%BA-002_2017.pdf
"Instituto Net Claro Embratel";Editais;"Campus Mobile";https://www.institutoclaro.org.br/campusmobile/index.php
NULL;Editais;"Oi Futuro";http://www.oifuturo.org.br/editais/
NULL;Editais;"Ministério da Cultura";http://www.cultura.gov.br/editais-da-cultura
NULL;Editais;"Cultura e Mercado";http://www.culturaemercado.com.br/site/editais/
NULL;Editais;Funarte;http://www.funarte.gov.br/editais/
NULL;Editais;"Cultura RJ";http://www.cultura.rj.gov.br/editais/editais.php
NULL;Editais;"Programa Cultural Caixa";http://www.programasculturaiscaixa.com.br/
NULL;Editais;"Programa Cultural Furnas";http://www.furnas.com.br/frmSOCutlturaPatrocinioCultural.aspx
NULL;Editais;"Sistema Firjan";http://www.firjan.com.br/main.jsp?lumPageId=4028818B428EECA80142C2D6EB8473EA&query=editais
NULL;Editais;"Cultura Niterói";http://culturaniteroi.com.br/blog/?tag=editais
NULL;Editais;"Secretaria Municipal de Cultura do RJ - SMC";http://prefeitura.rio/web/smc
"Associação Casa do Pontal";Editais;"Instituto de Pesquisa Econômica Aplicada";https://mapaosc.ipea.gov.br/editais.html
